fips,school,school_url,school_date,work,work_url,work_date,shelter_enforcement,shelter_enforcement_link,shelter_enforcement_date,shelter,shelter_url,shelter_date,event,event_url,event_date,testing,testing_url,testing_date,transport,transport_url,transport_date,updated
6073,True,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV.html,2020-03-16,True,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV.html,2020-03-15,False,,,True,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV.html,2020-03-19,True,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV.html,2020-03-16,True,https://health.ucsd.edu/coronavirus/Pages/default.aspx,,True,https://www.sdmts.com/schedules-real-time/covid-19-updates,2020-04-12,2020-04-09 11:03:27
17031,True,https://www.cookcountypublichealth.org/communicable-diseases/covid-19/schools-workplaces-and-communities/schools/,2020-03-17,True,https://www.cookcountypublichealth.org/communicable-diseases/covid-19/schools-workplaces-and-communities/workplaces/,2020-03-20,False,,,True,https://www.cookcountypublichealth.org/communicable-diseases/covid-19/schools-workplaces-and-communities/workplaces/,2020-04-01,True,https://www.cookcountypublichealth.org/communicable-diseases/covid-19/schools-workplaces-and-communities/communities/,2020-04-01,False,,,False,,,2020-04-09 11:32:26
48201,True,https://publichealth.harriscountytx.gov/Resources/2019-Novel-Coronavirus,2020-03-24,True,https://publichealth.harriscountytx.gov/Resources/2019-Novel-Coronavirus,2020-03-24,True,https://www.readyharris.org/Stay-Home,2020-03-24,True,https://publichealth.harriscountytx.gov/Resources/2019-Novel-Coronavirus,2020-03-20,True,https://www.readyharris.org/Stay-Home,2020-03-24,True,https://publichealth.harriscountytx.gov/Resources/2019-Novel-Coronavirus,,True,https://www.ridemetro.org/Pages/Coronavirus.aspx,2020-03-30,2020-04-09 18:08:51
4013,True,https://azgovernor.gov/governor/news/2020/03/governor-ducey-superintendent-hoffman-announce-extension-school-closures,2020-03-30,True,https://www.fox10phoenix.com/video/669286,2020-03-31,False,,,False,https://www.theguardian.com/us-news/2020/mar/30/arizona-coronavirus-covid-19-lockdown-shelter-in-place,,False,https://www.maricopa.gov/Calendar.aspx,,True,https://www.fox10phoenix.com/news/banner-health-announces-drive-through-covid-19-testing-in-the-valley,2020-03-23,False,https://www.maricopa.gov/5307/Transportation-MCDOT,,2020-04-09 18:33:06
49043,True,http://www.pcschools.us/wp-content/uploads/2020/03/3-23-20-Schools-Dismissed-through-May-1.pdf,2020-03-16,True,https://www.summitcounty.org/DocumentCenter/View/10751/Joint-Public-Health-Order-2020-03-FINAL,2020-03-27,True,https://www.summitcounty.org/DocumentCenter/View/10751/Joint-Public-Health-Order-2020-03-FINAL,2020-03-27,True,https://www.summitcounty.org/DocumentCenter/View/10751/Joint-Public-Health-Order-2020-03-FINAL,2020-03-27,True,https://www.summitcounty.org/DocumentCenter/View/10751/Joint-Public-Health-Order-2020-03-FINAL,2020-03-27,True,https://kutv.com/news/local/curbside-coronavirus-testing-now-available-in-summit-county,2020-04-02,False,,,2020-04-09 23:04:50
6085,True,https://www.santaclarausd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5881&PageID=9,2020-03-16,True,https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,2020-03-17,True,https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,2020-03-17,True,https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,2020-03-03,True,https://www.mercurynews.com/2020/03/09/following-first-coronavirus-death-santa-clara-county-bans-all-large-gathering/,2020-03-11,True,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/coronavirus-facts.aspx,,False,,,2020-04-09 23:49:14
6059,True,https://www.orangeusd.org/parent-community-corner/covid-19-information,2020-03-16,True,https://ktla.com/news/local-news/o-c-bans-gatherings-of-any-size-closes-bars-and-restaurants-as-virus-cases-climb-to-29/,2020-03-17,False,,,True,https://ktla.com/news/local-news/o-c-bans-gatherings-of-any-size-closes-bars-and-restaurants-as-virus-cases-climb-to-29/,2020-03-17,True,https://ktla.com/news/local-news/o-c-bans-gatherings-of-any-size-closes-bars-and-restaurants-as-virus-cases-climb-to-29/,2020-03-17,True,https://voiceofoc.org/2020/03/1967086/,2020-03-21,False,,,2020-04-10 09:11:00
12086,True,http://www.dadeschools.net/,2020-03-31,True,https://www.miamidade.gov/information/library/coronavirus-emergency-order-07-20-businesses.pdf,2020-03-19,True,https://www.nbcmiami.com/news/local/florida-coronavirus-deaths-pass-350-more-than-16300-confirmed-cases/2217823/,2020-04-09,True,https://www.miamidade.gov/information/library/coronavirus-emergency-order-safer-at-home.pdf,2020-03-26,True,https://www.miamidade.gov/information/library/coronavirus-emergency-order-10-20-public-gatherings.pdf,2020-03-24,True,https://wsvn.com/news/local/miami-dade/testing-sites-for-covid-19-in-broward-and-miami-dade/,2020-03-19,False,,,2020-04-10 19:30:18
48113,True,https://www.dallasisd.org/cms/lib/TX01001475/Centricity/Domain/11840/Board%20of%20Trustees%20Statement_District%20Closing_031620.pdf,2020-03-20,True,https://www.dallascounty.org/covid-19/judge-orders.php,2020-03-31,False,,,True,https://www.dallascounty.org/covid-19/judge-orders.php,2020-03-31,True,https://www.dallascounty.org/covid-19/judge-orders.php,2020-03-31,True,https://www.dallascounty.org/covid-19/testing-locations.php,2020-04-10,False,,,2020-04-10 19:36:29
36047,True,https://www.schools.nyc.gov/school-life/health-and-wellness/coronavirus-update,2020-03-17,True,https://www.governor.ny.gov/news/no-2026-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,2020-03-20,True,https://theintercept.com/2020/04/03/nypd-social-distancing-arrests-coronavirus/,2020-04-03,True,https://ny.curbed.com/2020/3/20/21187022/coronavirus-new-york-shutdown-shelter-in-place,2020-03-20,True,https://www.governor.ny.gov/news/no-2026-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,2020-03-20,True,https://www.statcarewalkin.com/covid-19-testing-near-me-brooklyn-11216-ny-coronavirus-cost-test-available/,2020-04-10,True,https://new.mta.info/precautions-against-coronavirus,2020-04-10,2020-04-10 20:17:48
